strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,207,Tai,50000.00,Lose,96935000.00,-3.06%
Player1_Martingale,208,Xiu,100000.00,Lose,96835000.00,-3.16%
Player1_Martingale,209,Tai,200000.00,Win,97025000.00,-2.97%
Player1_Martingale,210,Xiu,50000.00,Lose,96975000.00,-3.02%
Player1_Martingale,211,Tai,100000.00,Win,97070000.00,-2.93%
Player1_Martingale,212,Xiu,50000.00,Win,97117500.00,-2.88%
Player1_Martingale,213,Tai,50000.00,Win,97165000.00,-2.83%
Player1_Martingale,214,Xiu,50000.00,Lose,97115000.00,-2.89%
Player1_Martingale,215,Tai,100000.00,Lose,97015000.00,-2.99%
Player1_Martingale,216,Tai,200000.00,Lose,96815000.00,-3.19%
Player1_Martingale,217,Xiu,400000.00,Lose,96415000.00,-3.58%
Player1_Martingale,218,Xiu,800000.00,Lose,95615000.00,-4.38%
Player1_Martingale,219,Tai,1000000.00,Lose,94615000.00,-5.38%
Player1_Martingale,220,Xiu,1000000.00,Win,95565000.00,-4.44%
Player1_Martingale,221,Tai,50000.00,Lose,95515000.00,-4.49%
Player1_Martingale,222,Tai,100000.00,Lose,95415000.00,-4.58%
Player1_Martingale,223,Tai,200000.00,Win,95605000.00,-4.40%
Player1_Martingale,224,Tai,50000.00,Lose,95555000.00,-4.45%
Player1_Martingale,225,Tai,100000.00,Lose,95455000.00,-4.54%
Player1_Martingale,226,Tai,200000.00,Lose,95255000.00,-4.75%
Player1_Martingale,227,Xiu,400000.00,Win,95635000.00,-4.37%
Player1_Martingale,228,Xiu,50000.00,Win,95682500.00,-4.32%
Player1_Martingale,229,Tai,50000.00,Lose,95632500.00,-4.37%
Player1_Martingale,230,Tai,100000.00,Win,95727500.00,-4.27%
Player1_Martingale,231,Xiu,50000.00,Win,95775000.00,-4.23%
Player1_Martingale,232,Xiu,50000.00,Lose,95725000.00,-4.28%
Player1_Martingale,233,Xiu,100000.00,Win,95820000.00,-4.18%
Player1_Martingale,234,Xiu,50000.00,Win,95867500.00,-4.13%
Player1_Martingale,235,Tai,50000.00,Win,95915000.00,-4.08%
Player1_Martingale,236,Xiu,50000.00,Lose,95865000.00,-4.13%
Player1_Martingale,237,Tai,100000.00,Lose,95765000.00,-4.23%
Player1_Martingale,238,Xiu,200000.00,Lose,95565000.00,-4.44%
Player1_Martingale,239,Xiu,400000.00,Lose,95165000.00,-4.83%
Player1_Martingale,240,Tai,800000.00,Win,95925000.00,-4.08%
Player1_Martingale,241,Xiu,50000.00,Win,95972500.00,-4.03%
Player1_Martingale,242,Xiu,50000.00,Win,96020000.00,-3.98%
Player1_Martingale,243,Tai,50000.00,Lose,95970000.00,-4.03%
Player1_Martingale,244,Xiu,100000.00,Win,96065000.00,-3.94%
Player1_Martingale,245,Tai,50000.00,Lose,96015000.00,-3.98%
Player1_Martingale,246,Tai,100000.00,Lose,95915000.00,-4.08%
Player1_Martingale,247,Xiu,200000.00,Win,96105000.00,-3.90%
Player1_Martingale,248,Xiu,50000.00,Lose,96055000.00,-3.94%
Player1_Martingale,249,Xiu,100000.00,Lose,95955000.00,-4.04%
Player1_Martingale,250,Xiu,200000.00,Lose,95755000.00,-4.25%
Player1_Martingale,251,Tai,400000.00,Lose,95355000.00,-4.64%
Player1_Martingale,252,Xiu,800000.00,Win,96115000.00,-3.89%
Player1_Martingale,253,Xiu,50000.00,Lose,96065000.00,-3.94%
Player1_Martingale,254,Tai,100000.00,Lose,95965000.00,-4.04%
Player1_Martingale,255,Xiu,200000.00,Lose,95765000.00,-4.23%
